match_id,season,matchweek,date,kickoff_utc,home_team,away_team,bookmaker,market_type,opening_home_odds,opening_draw_odds,opening_away_odds,current_home_odds,current_draw_odds,current_away_odds,closing_home_odds,closing_draw_odds,closing_away_odds,spread_line,home_spread_odds,away_spread_odds,total_line,over_odds,under_odds,btts_yes_odds,btts_no_odds,odds_snapshot_type,time_to_kickoff_hours,odds_format,odds_timestamp,source_name,source_url_or_page_title,is_example,is_real_data,data_status,collection_date,notes
LALIGA2627_MW01_001_DeportivoAlavés_GetafeCF,2026-27,1,2026-08-15,2026-08-15T17:30:00+00:00,Deportivo Alavés,Getafe CF,,h2h,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_001_DeportivoAlavés_GetafeCF,2026-27,1,2026-08-15,2026-08-15T17:30:00+00:00,Deportivo Alavés,Getafe CF,,spreads,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_001_DeportivoAlavés_GetafeCF,2026-27,1,2026-08-15,2026-08-15T17:30:00+00:00,Deportivo Alavés,Getafe CF,,totals,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_009_SevillaFC_RayoVallecano,2026-27,1,2026-08-15,2026-08-15T19:30:00+00:00,Sevilla FC,Rayo Vallecano,,h2h,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_009_SevillaFC_RayoVallecano,2026-27,1,2026-08-15,2026-08-15T19:30:00+00:00,Sevilla FC,Rayo Vallecano,,spreads,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_009_SevillaFC_RayoVallecano,2026-27,1,2026-08-15,2026-08-15T19:30:00+00:00,Sevilla FC,Rayo Vallecano,,totals,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_007_R.RacingClub_VillarrealCF,2026-27,1,2026-08-16,2026-08-16T15:00:00+00:00,R. Racing Club,Villarreal CF,,h2h,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_007_R.RacingClub_VillarrealCF,2026-27,1,2026-08-16,2026-08-16T15:00:00+00:00,R. Racing Club,Villarreal CF,,spreads,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_007_R.RacingClub_VillarrealCF,2026-27,1,2026-08-16,2026-08-16T15:00:00+00:00,R. Racing Club,Villarreal CF,,totals,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_005_RCDEspanyoldeBarcelona_LevanteUD,2026-27,1,2026-08-16,2026-08-16T17:00:00+00:00,RCD Espanyol de Barcelona,Levante UD,,h2h,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_005_RCDEspanyoldeBarcelona_LevanteUD,2026-27,1,2026-08-16,2026-08-16T17:00:00+00:00,RCD Espanyol de Barcelona,Levante UD,,spreads,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_005_RCDEspanyoldeBarcelona_LevanteUD,2026-27,1,2026-08-16,2026-08-16T17:00:00+00:00,RCD Espanyol de Barcelona,Levante UD,,totals,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_004_RCDeportivo_ElcheCF,2026-27,1,2026-08-17,2026-08-17T19:00:00+00:00,RC Deportivo,Elche CF,,h2h,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
LALIGA2627_MW01_004_RCDeportivo_ElcheCF,2026-27,1,2026-08-17,2026-08-17T19:00:00+00:00,RC Deportivo,Elche CF,,spreads,,,,,,,,,,,,,,,,,,unknown,,decimal,2026-09-19T09:48:53+00:00,none_available,,False,False,unavailable,2026-09-19,"The Odds API is configured and reachable, but has not yet posted this market for this fixture (bookmakers open different markets at different times before kickoff) -- genuinely unavailable, not a collector failure."
